"Frequency";"Verification test [FTB-101]" (Magnitude (dB));"H1-X1 [open ] TAP-1" (Magnitude (dB));"H2-X2 [open ] TAP-1" (Magnitude (dB));"H3-X3 [open ] TAP-1" (Magnitude (dB));" X1-H0X0 [open] TAP-1" (Magnitude (dB));"X2-H0X0  [open] TAP-1" (Magnitude (dB));"X3-X0H0 [open] TAP-1" (Magnitude (dB));"Y1-Y3  [ open] TAP-1" (Magnitude (dB));"Y2-Y1 [open] TAP-1" (Magnitude (dB));"Y3-Y2 [ open ] TAP-1" (Magnitude (dB));"H1-X0H0 [short X1-X2-X3] TAP-1" (Magnitude (dB));"H2-X0H0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short X1-X2-X3 ] TAP-1" (Magnitude (dB));"H1-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H2-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"H3-H0X0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"X1-H0X0 [short Y1-Y2-Y3] TAP-1" (Magnitude (dB));"X2-H0X0 [short Y1-Y2-Y3, ] TAP-1" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1" (Magnitude (dB));"Verification test [FTB-101] (1)" (Magnitude (dB));"X3-X0H0 [short Y1-Y2-Y3 ] TAP-1 (1)" (Magnitude (dB))
20,000200;-0,034037;-34,287819;-36,335400;-34,239220;-34,392577;-36,345318;-34,100849;-15,389796;-17,048514;-16,125101;-3,330428;-3,268543;-3,359586;-8,003255;-7,352008;-7,673704;-2,759974;-0,837040;-30,815951;-0,032877;-1,247606
20,931499;-0,034028;-34,646617;-36,723896;-34,600267;-34,726474;-36,715561;-34,471086;-15,669240;-17,347443;-16,424834;-3,530255;-3,468541;-3,561140;-8,248631;-7,632615;-7,934470;-2,784151;-0,871857;-31,187107;-0,032720;-1,278003
21,932600;-0,033758;-35,033177;-37,096258;-34,984186;-35,082150;-37,093647;-34,849356;-15,921076;-17,626242;-16,698736;-3,744860;-3,683732;-3,777753;-8,509582;-7,928193;-8,210167;-2,809861;-0,910895;-31,563514;-0,032660;-1,312648
22,957100;-0,033514;-35,392964;-37,496362;-35,374585;-35,439696;-37,482961;-35,221223;-16,157743;-17,879447;-16,954111;-3,962874;-3,902811;-3,998697;-8,773511;-8,223925;-8,486823;-2,838500;-0,952357;-31,927639;-0,032712;-1,349267
24,051399;-0,033906;-35,783254;-37,887889;-35,756248;-35,801821;-37,865849;-35,603387;-16,396105;-18,144885;-17,215331;-4,194958;-4,135497;-4,233182;-9,050857;-8,532378;-8,777662;-2,869434;-0,998469;-32,304369;-0,032825;-1,390005
25,169001;-0,033287;-36,170421;-38,269956;-36,131720;-36,159082;-38,248204;-35,978451;-16,624630;-18,394037;-17,466594;-4,430029;-4,370666;-4,469434;-9,327838;-8,838963;-9,067691;-2,902115;-1,046562;-32,671616;-0,032224;-1,433220
26,356400;-0,033427;-36,555066;-38,660891;-36,528001;-36,542981;-38,625748;-36,356959;-16,859331;-18,661188;-17,715322;-4,677427;-4,618645;-4,719020;-9,617359;-9,156194;-9,369068;-2,938551;-1,100580;-33,046571;-0,032477;-1,480605
27,613701;-0,033985;-36,916452;-39,091897;-36,915661;-36,913408;-39,011220;-36,742024;-17,098249;-18,928751;-17,967670;-4,935481;-4,877917;-4,979348;-9,917246;-9,483898;-9,680405;-2,978492;-1,158856;-33,424297;-0,032782;-1,532995
28,917601;-0,033401;-37,369102;-39,457984;-37,313716;-37,292004;-39,409483;-37,133083;-17,334971;-19,195471;-18,224808;-5,199809;-5,142262;-5,245321;-10,220726;-9,812374;-9,995654;-3,021581;-1,221614;-33,806928;-0,032572;-1,588831
30,268000;-0,033697;-37,713319;-39,897763;-37,693849;-37,670701;-39,779085;-37,506591;-17,578788;-19,459535;-18,472435;-5,469417;-5,412686;-5,516941;-10,527750;-10,143423;-10,312637;-3,067865;-1,288545;-34,180797;-0,033052;-1,649260
31,688299;-0,033775;-38,143833;-40,285607;-38,103522;-38,053257;-40,172732;-37,892249;-17,819099;-19,730194;-18,730181;-5,747309;-5,691466;-5,796705;-10,841757;-10,481030;-10,637220;-3,117368;-1,360830;-34,564376;-0,032572;-1,714152
33,201599;-0,033636;-38,552428;-40,707191;-38,512083;-38,443924;-40,579347;-38,282278;-18,077170;-20,009125;-18,993256;-6,038372;-5,982448;-6,089509;-11,167354;-10,828844;-10,973515;-3,170646;-1,440168;-34,957266;-0,032651;-1,785559
34,761600;-0,033959;-38,910267;-41,208028;-38,935434;-38,840367;-40,890306;-38,656276;-18,339484;-20,284970;-19,250115;-6,331980;-6,277003;-6,385387;-11,495317;-11,176942;-11,308430;-3,229126;-1,524409;-35,343635;-0,032991;-1,861701
36,391399;-0,034063;-39,373366;-41,579658;-39,287803;-39,174515;-41,239888;-39,040570;-18,602866;-20,561825;-19,505937;-6,631592;-6,577154;-6,686073;-11,824858;-11,527056;-11,647511;-3,291579;-1,614619;-35,720194;-0,032895;-1,943174
38,114399;-0,033871;-39,823825;-41,970648;-39,703459;-39,561254;-41,657750;-39,435898;-18,871813;-20,849540;-19,772144;-6,940576;-6,886380;-6,997095;-12,163239;-11,884469;-11,994595;-3,359688;-1,712587;-36,107937;-0,032720;-2,031454
39,907200;-0,033959;-40,195417;-42,425463;-40,163380;-40,002667;-42,107754;-39,841888;-19,143530;-21,141157;-20,042569;-7,254770;-7,200414;-7,312087;-12,505143;-12,240891;-12,344068;-3,433416;-1,815974;-36,501078;-0,032825;-2,125752
41,793098;-0,033880;-40,667902;-42,823796;-40,503845;-40,316135;-42,428668;-40,209437;-19,435084;-21,428959;-20,294040;-7,575519;-7,522656;-7,635000;-12,852091;-12,605555;-12,697244;-3,511600;-1,927567;-36,881868;-0,032651;-2,227616
43,748901;-0,033532;-41,230116;-43,105550;-40,983885;-40,771806;-42,841946;-40,659061;-19,701109;-21,726117;-20,574734;-7,900712;-7,844854;-7,958691;-13,197704;-12,963919;-13,053634;-3,595866;-2,046084;-37,269013;-0,032372;-2,334961
